AA
AAU
ABX
ACH
AEM
AEPI
AG
AGFS
AGI
AGU
AKG
AKS
ALB
AMCO
AMRK
AMRS
APD
APOG
ARG
ASH
ASM
ASPN
ATI
ATR
AU
AUMN
AUY
AVD
AVY
AXLL
AXTA
AXU
BAA
BAK
BCC
BCPC
BERY
BHP
BIOA
BLL
BMS
BSM
BTG
BVN
CAS
CBT
CC
CCC
CCJ
CCK
CDE
CDXS
CE
CENX
CERE
CF
CGA
CHMT
CINR
CLF
CMC
CMP
CPAC
CPSH
CRH
CRS
CSL
CSTM
CSWI
CX
CXDC
CYRX
DD
DDC
DEL
DELT
DNN
DOW
DRD
DSS
DSWL
EGI
EGO
EMN
EMXX
ERS
EVGN
EXK
EXP
FBR
FCX
FF
FMC
FNV
FOE
FRD
FSI
FSM
FUL
GEF
GFI
GG
GGB
GMO
GOLD
GORO
GPK
GPL
GRA
GSI
GSM
GSS
GSV
GURE
HAYN
HBM
HCLP
HL
HMY
HSC
HUN
HW
HWKN
IAG
IBIO
ICL
IFF
IKNX
IOSP
IP
IPHS
IPI
JHX
KALU
KGC
KLDX
KMG
KOP
KRA
KRO
KS
KWR
LDL
LNDC
LODE
LPX
LXU
LYB
MBII
MBLX
MDM
MDU
MEOH
MERC
MGH
MGN
MLM
MMM
MON
MOS
MPSX
MSB
MT
MTL
MTRN
MTX
MUX
MVG
MYE
NAK
NCQ
NEM
NEU
NG
NGD
NP
NSU
NTIC
NUE
NWPX
OC
OCIP
ODC
OEC
OI
OLN
OMN
ONP
OSN
PAAS
PAH
PATK
PGEM
PGLC
PKG
PKX
PLG
PLM
POL
POT
PPG
PPP
PX
PY
PZG
REFR
RFP
RGLD
RIC
RIO
RKDA
RPM
RS
RTK
RYAM
RYI
SA
SAND
SBGL
SCCO
SCL
SEE
SEED
SHI
SHLM
SHLO
SHW
SID
SIM
SLCA
SLGN
SLW
SON
SQM
STLD
SUM
SWC
SWM
SXC
SXCP
SXT
SYNL
SYT
TAHO
TANH
TCK
TG
TGB
TGD
TGLS
THM
TMST
TNH
TORM
TROX
TRQ
TRX
TS
TSE
TX
UAMY
UAN
UEC
UFPI
UFPT
UFS
UNVR
UREE
URG
URRE
USAP
USCR
USG
USLM
UUUU
VAL
VALE
VEDL
VGZ
VHI
VMC
WDFC
WIRE
WLK
WLKP
WMS
WOR
WRK
WRN
X
XPL
XRA
YECO
ZAGG
ZEUS
