AAOI
AAPL
ACIW
ACLS
ACN
ACTA
ACTS
ACXM
ADBE
ADI
ADP
ADSK
ADTN
AEHR
AEY
AFOP
AGYS
AIXG
AKAM
ALOT
AMAT
AMBA
AMBR
AMCC
AMD
AMKR
AMSWA
ANET
ANSS
ANY
AOSL
APDN
APIC
APPF
APPS
ARIS
ARMH
ARRS
ARW
ASML
ASUR
ASX
ASYS
ATAI
ATEN
ATHN
ATTO
ATTU
ATVI
AUDC
AUO
AVG
AVGO
AVID
AVNW
AVT
AVX
AWRE
AXE
AXTI
AYA
AZPN
BAH
BBOX
BBRY
BCOV
BDR
BHE
BKFS
BLIN
BLKB
BLOX
BNFT
BOSC
BOX
BR
BRCD
BRKS
BSFT
BSQR
BTN
BV
BVSN
BZUN
CA
CACI
CAJ
CALD
CALX
CAMP
CARB
CATH
CAVM
CBAK
CCMP
CCUR
CDK
CDNS
CDRB
CDW
CERN
CEVA
CHKP
CIDM
CIEN
CLFD
CLRO
CLS
CMCM
CMTL
CNIT
CNTF
CNXR
COHR
COHU
COMM
COOL
COYN
CPAH
CPSI
CRAY
CRDS
CREE
CRM
CRNT
CRUS
CSC
CSCD
CSCO
CSGP
CSGS
CSLT
CSOD
CSPI
CTRL
CTS
CTSH
CTXS
CUB
CUDA
CUI
CVG
CVLT
CVT
CY
CYBR
CYOU
CYRN
DAIO
DAKT
DATA
DBD
DDD
DGII
DGLY
DIOD
DLB
DMRC
DNB
DOX
DRAM
DRIO
DRWI
DSGX
DSKY
DSPG
DST
DTLK
DTRM
DTSI
DWCH
DWRE
DYSL
EA
EBIX
ECOM
EDGW
EFII
EFUT
EFX
EGAN
EGL
EGOV
EIGI
ELTK
EMAN
EMC
EMKR
ENTG
ENV
EPAM
EPAY
EPIQ
ERIC
ESIO
EVH
EVOL
EVTC
EXA
EXAR
EXFO
EXLS
EXTR
FALC
FDS
FEIC
FEYE
FFIV
FICO
FIT
FIVN
FLEX
FLIR
FLTX
FN
FNJN
FNSR
FORM
FORR
FORTY
FTNT
GIG
GIGM
GILT
GIMO
GLOB
GLOW
GLW
GPRO
GRMN
GSB
GSIT
GUID
GVP
GWRE
HDP
HEAR
HIMX
HIVE
HLIT
HMNY
HPE
HPQ
HTCH
HUBS
IBM
ICFI
IDCC
IDI
IDN
IDSY
IDTI
