AAV
AE
AEIS
AHGP
ALDW
ALJ
AM
AMFW
AMID
AMRC
AMSC
AMTX
APA
APC
APLP
AR
ARCX
AREX
ARLP
AROC
ARP
ATW
AXAS
AZUR
BAS
BBEP
BCEI
BHI
BKEP
BLDP
BOLT
BP
BPL
BPT
BRN
BRS
BTE
BWEN
BWP
BXE
CAPL
CCLP
CEO
CEQP
CETC
CGG
CHK
CHKR
CHNR
CIE
CJES
CKH
CLB
CLD
CLMT
CLNE
CLNT
CLR
CNNX
CNQ
CNX
CNXC
COG
COP
CPE
CPG
CPPL
CQH
CQP
CRC
CRK
CRR
CRT
CRZO
CSIQ
CVE
CVEO
CVI
CVRR
CVX
CWEI
CXO
CZZ
DAKP
DK
DKL
DM
DMLP
DNOW
DNR
DO
DPM
DQ
DRYS
DVN
DWSN
DXI
E
EC
ECA
ECR
ECT
EEP
EEQ
EGN
EGY
ELON
EMES
ENB
ENBL
ENLC
ENLK
ENPH
ENRJ
ENS
ENSV
EOG
EPD
EPE
EPM
EQGP
EQM
EQT
ERA
ERF
ERN
ESES
ESNC
ESTE
ESV
ETE
ETP
EVA
EVEP
EXTN
FANG
FCEL
FELP
FES
FET
FI
FMSA
FPP
FSLR
FTI
FTK
GEL
GEOS
GEVO
GIFI
GLBL
GLF
GLP
GLRI
GPOR
GPRE
GPRK
GST
GTE
HAL
HEP
HERO
HES
HFC
HGT
HK
HLX
HNR
HNRG
HP
HQCL
HUSA
HYGS
ICD
IMO
INT
IO
IOC
ISRL
JASO
JKS
JONE
JPEP
KEG
KMI
KOS
LEI
LGCY
LINE
LLEX
LNCO
LNG
LPI
MARPS
MCEP
MCF
MDR
MEMP
MEP
MGPI
MIND
MMLP
MMP
MPC
MPET
MPLX
MRC
MRD
MRO
MTDR
MTR
MTRX
MUR
MUSA
MVO
MXC
MY
NADL
NBL
NBR
NDRO
NE
NFX
NGL
NGS
NKA
NOA
NOG
NOV
NR
NRP
NRT
NS
NSH
NTI
OAS
OII
OIS
OKE
OKS
OPTT
ORIG
OXY
PAA
PACD
PAGP
PARR
PBA
PBF
PBFX
PBR
PBT
PDCE
PDS
PE
PED
PEIX
PER
PES
PFIE
PGH
PHII
PHX
PKD
PLUG
PNRG
PQ
PSX
PSXP
PTEN
PTR
PTXP
PWE
PXD
PZE
QEP
RCON
RDC
REGI
REI
REN
RES
REX
REXX
RGSE
RICE
RIG
RIGP
ROYT
RRC
RRMS
RSPP
RUN
SAEX
SBR
SCTY
SDLP
SDPI
SDR
SDRL
SDT
SE
SEDG
SEMG
SEP
SGU
SGY
SHLX
SJT
SKYS
SLB
SM
SMLP
SN
SNP
SOL
SPH
SPN
SPP
SPWR
SRLP
SSE
SSL
SSN
SSNI
STO
SU
SUN
SWN
SXE
SXL
SYMX
SYRG
SZYM
TAT
TCP
TDW
TEGP
TEP
TESO
TGA
TGC
TGS
THR
TLLP
TLP
TOT
TPLM
TRCH
TRGP
TRP
TSL
TSO
TTI
UGP
ULBI
UNT
USAC
USEG
VET
VLO
VLP
VNOM
VNR
VOC
VSLR
VTTI
WES
WFT
WGP
WLB
WLL
WMB
WMLP
WNR
WNRL
WPT
WPX
WPZ
WRES
WTI
XCO
XEC
XOM
YGE
YPF
YUMA
YZC
ZN
