ABAC
ABEV
ADM
AGRO
ALCO
ALN
ANDE
ANFI
AOI
AVP
BETR
BG
BGS
BIG
BORN
BREW
BRFS
BRID
BSI
BTI
BUD
BUFF
CAG
CALM
CASY
CAW
CBD
CCE
CCU
CDZI
CENT
CHD
CHEF
CJJD
CL
CLW
CLX
CNCO
COKE
CORE
COST
COT
COTY
CPB
CRVP
CST
CVGW
CVS
DAR
DEG
DEO
DF
DG
DIT
DLTR
DPS
DSKX
DTEA
EL
ENR
FARM
FDP
FHCO
FIVE
FIZZ
FLO
FMX
FRED
FWM
GIS
GLDC
GRO
HAIN
HELE
HLF
HPJ
HRG
HRL
HSY
IBA
IMKTA
INGR
IPAR
JBSS
JJSF
JRJR
JVA
K
KHC
KMB
KO
KOF
KR
LANC
LBIX
LMNR
LNCE
LND
LWAY
MDLZ
MHG
MJN
MKC
MNST
MO
NGVC
NPD
NUS
OBCI
OLLI
PEP
PF
PFGC
PG
PHMD
PICO
PM
PME
POST
PPC
PRMW
PSMT
QKLS
RAD
RAI
RDEN
REED
REV
RMCF
ROX
SAFM
SAM
SANW
SEB
SENEA
SFM
SFS
SJM
SNAK
SNMX
SODA
SPB
SPTN
SPU
STKL
STZ
SUMR
SVU
SYY
TA
TAP
TGT
THS
THST
TIS
TOF
TR
TRC
TSN
UG
UL
UN
UNFI
UVV
VCO
VGR
VLGEA
WBA
WFM
WILC
WMK
WMT
WVVI
WWAV
XXII
