S1,Sample start,Track start,Track end,,
10,20040101,20100101,20110701,,
11,20050101,20110101,20120701,,
12,20060101,20120101,20130701,,
13,20070101,20130101,20140701,,
S15,,,,,
0,19940101,20010101,20020701,,
1,19950101,20020101,20030701,,
2,19960101,20030101,20040701,,
3,19970101,20040101,20050701,,
4,19980101,20050101,20060701,,
5,19990101,20060101,20070701,,
6,20000101,20070101,20080701,,
7,20010101,20080101,20090701,,
8,20020101,20090101,20100701,,
9,20030101,20100101,20110701,,
10,20040101,20110101,20120701,,
11,20050101,20120101,20130701,,
12,20060101,20130101,20140701,,
S16,,,,,
0,19940101,20020101,20030701,,
1,19950101,20030101,20040701,,
2,19960101,20040101,20050701,,
3,19970101,20050101,20060701,,
4,19980101,20060101,20070701,,
5,19990101,20070101,20080701,,
6,20000101,20080101,20090701,,
7,20010101,20090101,20100701,,
8,20020101,20100101,20110701,,
9,20030101,20110101,20120701,,
10,20040101,20120101,20130701,,
11,20050101,20130101,20140701,,
S17,,,,,
0,19940101,20030101,20040701,,
1,19950101,20040101,20050701,,
2,19960101,20050101,20060701,,
3,19970101,20060101,20070701,,
4,19980101,20070101,20080701,,
5,19990101,20080101,20090701,,
6,20000101,20090101,20100701,,
7,20010101,20100101,20110701,,
8,20020101,20110101,20120701,,
9,20030101,20120101,20130701,,
10,20040101,20130101,20140701,,
S18,,,,,
0,19940101,20040101,20050701,,
1,19950101,20050101,20060701,,
2,19960101,20060101,20070701,,
3,19970101,20070101,20080701,,
4,19980101,20080101,20090701,,
5,19990101,20090101,20100701,,
6,20000101,20100101,20110701,,
7,20010101,20110101,20120701,,
8,20020101,20120101,20130701,,
9,20030101,20130101,20140701,,
S19,,,,,
0,19940101,19990101,20010101,,
1,19950101,20000101,20020101,,
2,19960101,20010101,20030101,,
3,19970101,20020101,20040101,,
4,19980101,20030101,20050101,,
5,19990101,20040101,20060101,,
6,20000101,20050101,20070101,,
7,20010101,20060101,20080101,,
8,20020101,20070101,20090101,,
9,20030101,20080101,20100101,,
10,20040101,20090101,20110101,,
11,20050101,20100101,20120101,,
12,20060101,20110101,20130101,,
13,20070101,20120101,20140101,,
S20,,,,,
0,19940101,20000101,20020101,,
1,19950101,20010101,20030101,,
2,19960101,20020101,20040101,,
3,19970101,20030101,20050101,,
4,19980101,20040101,20060101,,
5,19990101,20050101,20070101,,
6,20000101,20060101,20080101,,
7,20010101,20070101,20090101,,
8,20020101,20080101,20100101,,
9,20030101,20090101,20110101,,
10,20040101,20100101,20120101,,
11,20050101,20110101,20130101,,
12,20060101,20120101,20140101,,
S21,,,,,
0,19940101,20010101,20030101,,
1,19950101,20020101,20040101,,
2,19960101,20030101,20050101,,
3,19970101,20040101,20060101,,
4,19980101,20050101,20070101,,
5,19990101,20060101,20080101,,
6,20000101,20070101,20090101,,
7,20010101,20080101,20100101,,
8,20020101,20090101,20110101,,
9,20030101,20100101,20120101,,
10,20040101,20110101,20130101,,
11,20050101,20120101,20140101,,
S22,,,,,
0,19940101,20020101,20040101,,
1,19950101,20030101,20050101,,
2,19960101,20040101,20060101,,
3,19970101,20050101,20070101,,
4,19980101,20060101,20080101,,
5,19990101,20070101,20090101,,
6,20000101,20080101,20100101,,
7,20010101,20090101,20110101,,
8,20020101,20100101,20120101,,
9,20030101,20110101,20130101,,
10,20040101,20120101,20140101,,
S23,,,,,
0,19940101,20030101,20050101,,
1,19950101,20040101,20060101,,
2,19960101,20050101,20070101,,
3,19970101,20060101,20080101,,
4,19980101,20070101,20090101,,
5,19990101,20080101,20100101,,
6,20000101,20090101,20110101,,
7,20010101,20100101,20120101,,
8,20020101,20110101,20130101,,
9,20030101,20120101,20140101,,
S24,,,,,
0,19940101,20040101,20060101,,
1,19950101,20050101,20070101,,
2,19960101,20060101,20080101,,
3,19970101,20070101,20090101,,
4,19980101,20080101,20100101,,
5,19990101,20090101,20110101,,
6,20000101,20100101,20120101,,
7,20010101,20110101,20130101,,
8,20020101,20120101,20140101,,
S25,,,,,
0,19940101,19990101,20010701,,
1,19950101,20000101,20020701,,
2,19960101,20010101,20030701,,
3,19970101,20020101,20040701,,
4,19980101,20030101,20050701,,
5,19990101,20040101,20060701,,
6,20000101,20050101,20070701,,
7,20010101,20060101,20080701,,
8,20020101,20070101,20090701,,
9,20030101,20080101,20100701,,
10,20040101,20090101,20110701,,
11,20050101,20100101,20120701,,
12,20060101,20110101,20130701,,
13,20070101,20120101,20140701,,
S26,,,,,
0,19940101,20000101,20020701,,
1,19950101,20010101,20030701,,
2,19960101,20020101,20040701,,
3,19970101,20030101,20050701,,
4,19980101,20040101,20060701,,
5,19990101,20050101,20070701,,
6,20000101,20060101,20080701,,
7,20010101,20070101,20090701,,
8,20020101,20080101,20100701,,
9,20030101,20090101,20110701,,
10,20040101,20100101,20120701,,
11,20050101,20110101,20130701,,
12,20060101,20120101,20140701,,
S27,,,,,
0,19950101,20010101,20030701,,
1,19960101,20020101,20040701,,
2,19970101,20030101,20050701,,
3,19980101,20040101,20060701,,
4,19990101,20050101,20070701,,
5,20000101,20060101,20080701,,
6,20010101,20070101,20090701,,
7,20020101,20080101,20100701,,
8,20030101,20090101,20110701,,
9,20040101,20100101,20120701,,
10,20050101,20110101,20130701,,
11,20060101,20120101,20140701,,
S28,,,,,
0,19940101,20020101,20040701,,
1,19950101,20030101,20050701,,
2,19960101,20040101,20060701,,
3,19970101,20050101,20070701,,
4,19980101,20060101,20080701,,
5,19990101,20070101,20090701,,
6,20000101,20080101,20100701,,
7,20010101,20090101,20110701,,
8,20020101,20100101,20120701,,
9,20030101,20110101,20130701,,
10,20040101,20120101,20140701,,
S29,,,,,
0,19940101,20030101,20050701,,
1,19950101,20040101,20060701,,
2,19960101,20050101,20070701,,
3,19970101,20060101,20080701,,
4,19980101,20070101,20090701,,
5,19990101,20080101,20100701,,
6,20000101,20090101,20110701,,
7,20010101,20100101,20120701,,
8,20020101,20110101,20130701,,
9,20030101,20120101,20140701,,
S30,,,,,
0,19940101,20040101,20060701,,
1,19950101,20050101,20070701,,
2,19960101,20060101,20080701,,
3,19970101,20070101,20090701,,
4,19980101,20080101,20100701,,
5,19990101,20090101,20110701,,
6,20000101,20100101,20120701,,
7,20010101,20110101,20130701,,
8,20020101,20120101,20140701,,
S31
1,19940101,19990101,19990701
2,19950101,20000101,20000701
3,19960101,20010101,20010701
4,19970101,20020101,20020701
5,19980101,20030101,20030701
6,19990101,20040101,20040701
7,20000101,20050101,20050701
8,20010101,20060101,20060701
9,20020101,20070101,20070701
10,20030101,20080101,20080701
11,20040101,20090101,20090701
12,20050101,20100101,20100701
13,20060101,20110101,20110701
14,20070101,20120101,20120701
15,20080101,20130101,20130701
16,20090101,20140101,20140701
S32
1,19940101,19990101,20000101
2,19950101,20000101,20010101
3,19960101,20010101,20020101
4,19970101,20020101,20030101
5,19980101,20030101,20040101
6,19990101,20040101,20050101
7,20000101,20050101,20060101
8,20010101,20060101,20070101
9,20020101,20070101,20080101
10,20030101,20080101,20090101
11,20040101,20090101,20100101
12,20050101,20100101,20110101
13,20060101,20110101,20120101
14,20070101,20120101,20130101
15,20080101,20130101,20140101
S33
1,19940101,19990101,20000701
2,19950101,20000101,20010701
3,19960101,20010101,20020701
4,19970101,20020101,20030701
5,19980101,20030101,20040701
6,19990101,20040101,20050701
7,20000101,20050101,20060701
8,20010101,20060101,20070701
9,20020101,20070101,20080701
10,20030101,20080101,20090701
11,20040101,20090101,20100701
12,20050101,20100101,20110701
13,20060101,20110101,20120701
14,20070101,20120101,20130701
15,20080101,20130101,20140701
S34
1,19940101,19990101,20010101
2,19950101,20000101,20020101
3,19960101,20010101,20030101
4,19970101,20020101,20040101
5,19980101,20030101,20050101
6,19990101,20040101,20060101
7,20000101,20050101,20070101
8,20010101,20060101,20080101
9,20020101,20070101,20090101
10,20030101,20080101,20100101
11,20040101,20090101,20110101
12,20050101,20100101,20120101
13,20060101,20110101,20130101
14,20070101,20120101,20140101
S35
1,19940101,19990101,20010701
2,19950101,20000101,20020701
3,19960101,20010101,20030701
4,19970101,20020101,20040701
5,19980101,20030101,20050701
6,19990101,20040101,20060701
7,20000101,20050101,20070701
8,20010101,20060101,20080701
9,20020101,20070101,20090701
10,20030101,20080101,20100701
11,20040101,20090101,20110701
12,20050101,20100101,20120701
13,20060101,20110101,20130701
14,20070101,20120101,20140701
S36
1,19940101,19990101,20020101
2,19950101,20010101,20030101
3,19960101,20020101,20040101
4,19970101,20030101,20050101
5,19980101,20040101,20060101
6,19990101,20050101,20070101
7,20000101,20060101,20080101
8,20010101,20070101,20090101
9,20020101,20080101,20100101
10,20030101,20090101,20110101
11,20040101,20100101,20120101
12,20050101,20110101,20130101
13,20060101,20120101,20140101
S37
1,19940101,19990101,20020701
2,19950101,20010101,20030701
3,19960101,20020101,20040701
4,19970101,20030101,20050701
5,19980101,20040101,20060701
6,19990101,20050101,20070701
7,20000101,20060101,20080701
8,20010101,20070101,20090701
9,20020101,20080101,20100701
10,20030101,20090101,20110701
11,20040101,20100101,20120701
12,20050101,20110101,20130701
13,20060101,20120101,20140701
S38
1,19940101,19990101,20030101
2,19950101,20010101,20040101
3,19960101,20020101,20050101
4,19970101,20030101,20060101
5,19980101,20040101,20070101
6,19990101,20050101,20080101
7,20000101,20060101,20090101
8,20010101,20070101,20100101
9,20020101,20080101,20110101
10,20030101,20090101,20120101
11,20040101,20100101,20130101
12,20050101,20110101,20140101
S39
1,19940101,19990101,20030701
2,19950101,20010101,20040701
3,19960101,20020101,20050701
4,19970101,20030101,20060701
5,19980101,20040101,20070701
6,19990101,20050101,20080701
7,20000101,20060101,20090701
8,20010101,20070101,20100701
9,20020101,20080101,20110701
10,20030101,20090101,20120701
11,20040101,20100101,20130701
12,20050101,20110101,20140701
S40
1,19940101,19990101,20040101
2,19950101,20010101,20050101
3,19960101,20020101,20060101
4,19970101,20030101,20070101
5,19980101,20040101,20080101
6,19990101,20050101,20090101
7,20000101,20060101,20100101
8,20010101,20070101,20110101
9,20020101,20080101,20120101
10,20030101,20090101,20130101
11,20040101,20100101,20140101
S41
1,19940101,19990101,20040701
2,19950101,20010101,20050701
3,19960101,20020101,20060701
4,19970101,20030101,20070701
5,19980101,20040101,20080701
6,19990101,20050101,20090701
7,20000101,20060101,20100701
8,20010101,20070101,20110701
9,20020101,20080101,20120701
10,20030101,20090101,20130701
11,20040101,20100101,20140701
S42
1,19940101,19990101,20050101
2,19950101,20010101,20060101
3,19960101,20020101,20070101
4,19970101,20030101,20080101
5,19980101,20040101,20090101
6,19990101,20050101,20100101
7,20000101,20060101,20110101
8,20010101,20070101,20120101
9,20020101,20080101,20130101
10,20030101,20090101,20140101
S43
1,19940101,19990101,20050701
2,19950101,20010101,20060701
3,19960101,20020101,20070701
4,19970101,20030101,20080701
5,19980101,20040101,20090701
6,19990101,20050101,20100701
7,20000101,20060101,20110701
8,20010101,20070101,20120701
9,20020101,20080101,20130701
10,20030101,20090101,20140701
S44
1,19940101,19990101,20060101
2,19950101,20010101,20070101
3,19960101,20020101,20080101
4,19970101,20030101,20090101
5,19980101,20040101,20100101
6,19990101,20050101,20110101
7,20000101,20060101,20120101
8,20010101,20070101,20130101
9,20020101,20080101,20140101
S45
1,19940101,19990101,20060701
2,19950101,20010101,20070701
3,19960101,20020101,20080701
4,19970101,20030101,20090701
5,19980101,20040101,20100701
6,19990101,20050101,20110701
7,20000101,20060101,20120701
8,20010101,20070101,20130701
9,20020101,20080101,20140701
S46
1,19940101,19990101,20070101
2,19950101,20010101,20080101
3,19960101,20020101,20090101
4,19970101,20030101,20100101
5,19980101,20040101,20110101
6,19990101,20050101,20120101
7,20000101,20060101,20130101
8,20010101,20070101,20140101
S47
1,19940101,19990101,20070701
2,19950101,20010101,20080701
3,19960101,20020101,20090701
4,19970101,20030101,20100701
5,19980101,20040101,20110701
6,19990101,20050101,20120701
7,20000101,20060101,20130701
8,20010101,20070101,20140701
S48
1,19940101,19990101,20080101
2,19950101,20010101,20090101
3,19960101,20020101,20100101
4,19970101,20030101,20110101
5,19980101,20040101,20120101
6,19990101,20050101,20130101
7,20000101,20060101,20140101
S49
1,19940101,19990101,20080701
2,19950101,20010101,20090701
3,19960101,20020101,20100701
4,19970101,20030101,20110701
5,19980101,20040101,20120701
6,19990101,20050101,20130701
7,20000101,20060101,20140701
S50
1,19940101,19990101,20090101
2,19950101,20010101,20100101
3,19960101,20020101,20110101
4,19970101,20030101,20120101
5,19980101,20040101,20130101
6,19990101,20050101,20140101
S51
1,19940101,19990101,20090701
2,19950101,20010101,20100701
3,19960101,20020101,20110701
4,19970101,20030101,20120701
5,19980101,20040101,20130701
6,19990101,20050101,20140701
