Server Version:76
TWS Time at connection:20160607 09:47:49 AEST
Got account: DU289674
Connected
Account=DU289674
message: id=-1, errorCode=2107, msg=HMDS data farm connection is inactive but should be available upon demand.ushmds
REQ EXECUTIONS Start
Order Id=18
-- little sleep --
ACCOUNT: account=DU289674 key=LookAheadAvailableFunds-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadExcessLiquidity value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadExcessLiquidity-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadExcessLiquidity-S value=1120311.15 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadInitMarginReq value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadInitMarginReq-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadInitMarginReq-S value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadMaintMarginReq value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadMaintMarginReq-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadMaintMarginReq-S value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=LookAheadNextChange value=0 currency=null
ACCOUNT: account=DU289674 key=MaintMarginReq value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=MaintMarginReq-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=MaintMarginReq-S value=257811.09 currency=AUD
ACCOUNT: account=DU289674 key=MoneyMarketFundValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=MoneyMarketFundValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=MoneyMarketFundValue value=0 currency=USD
ACCOUNT: account=DU289674 key=MutualFundValue value=0 currency=AUD
ACCOUNT: account=DU289674 key=MutualFundValue value=0 currency=BASE
ACCOUNT: account=DU289674 key=MutualFundValue value=0 currency=USD
ACCOUNT: account=DU289674 key=NetDividend value=0 currency=AUD
ACCOUNT: account=DU289674 key=NetDividend value=0 currency=BASE
ACCOUNT: account=DU289674 key=NetDividend value=0 currency=USD
ACCOUNT: account=DU289674 key=NetLiquidation value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=NetLiquidation-C value=0.00 currency=AUD
ACCOUNT: account=DU289674 key=NetLiquidation-S value=1378122.24 currency=AUD
ACCOUNT: account=DU289674 key=NetLiquidationByCurrency value=-23 currency=AUD
ACCOUNT: account=DU289674 key=NetLiquidationByCurrency value=1378122 currency=BASE
ACCOUNT: account=DU289674 key=NetLiquidationByCurrency value=1015789 currency=USD
