Code, Symbol,Ticker,Company Name, Market, Sector, Industry, Sub-Industry, Acquired by Code, Acquired by Symbol,Acquired by Ticker,Acquired by Company Name,Acquired by Market,Acquired by Sector,Acquired by Industry,Acquired by Sub-Industry
200,FURN,FURN:US,Furniture.comInc,,ConsumerDiscretionary,Retail-Discretionary,'E-CommerceDiscretionary,null
200,NATT, NATT:US , North Atlantic Technologies ,  , Industrials , Machinery ,' Industrial Machinery ,null
404,GMEB,null,null,null,null,null,'null,null
200,AMXI,AMXI:US,AmnexInc,,Communications,Telecom,'TelecomCarriers,null
200,DREAF,DREAF:US,DrecoEnergyServicesLtd,,Energy,Oil,Gas&Coal,'Oil&GasServices&Equip,200,NOV,NOV:US,NationalOilwellVarcoInc,NewYork,Energy,Oil,Gas&Coal,'Oil&GasServices&Equip,null
200,CMAN,CMAN:US,ChapmanHoldingsInc,,Financials,InstitutionalFinancialSvcs,'InstitutionalBrokerage,null
200,NEU,NEU:US,NewMarketCorp,NewYork,Materials,Chemicals,'SpecialtyChemicals,null
200,TPC,TPC:US,TutorPeriniCorp,NewYork,Industrials,Engineering&ConstructionSvcs,'Non-ResidentialBldgConst,null
200,AGPC,AGPC:US,AGP&CoInc,,Financials,InstitutionalFinancialSvcs,'InstitutionalBrokerage,null
200,BLCR,BLCR:US,DiversifiedThermalSolutionsInc,,Materials,Chemicals,'SpecialtyChemicals,null
200,ARGY,ARGY:US,TreatyEnergyCorp,,Energy,Oil,Gas&Coal,'Exploration&Production,null
200,MURXF, MURXF:US , Minotaur Exploration Ltd ,  , Materials , Metals & Mining ,' Base Metals ,null
200,AMVX,AMVX:US,AmericanVaccineCorp,,HealthCare,Biotech&Pharma,'SpecialtyPharma,200,BAX,BAX:US,BaxterInternationalInc,NewYork,HealthCare,MedicalEquipment&Devices,'HealthCareSupplies,null
200,E,E:US,EniSpA,NewYork,Energy,Oil,Gas&Coal,'IntegratedOils,null
200,BIOV,BIOV:US,BioventusInc,,HealthCare,MedicalEquipment&Devices,'HealthCareSupplies,null
200,ACLE,ACLE:US,ArclandEnergyCorp,,HealthCare,MedicalEquipment&Devices,'HealthCareSupplies,null
200,CYCH,CYCH:US,CybercashInc,,ConsumerDiscretionary,CommercialServices,'OtherCommercialServices,null
200,ELMD,ELMD:US,ElectromedInc,NYSEMKTLLC,HealthCare,MedicalEquipment&Devices,'MedicalEquipment,null
200,TWX,TWX:US,TimeWarnerInc,NewYork,Communications,Media,'EntertainmentContent,null
200,CWDI,CWDI:US,CraftWorldInternationalInc,,-,-,'-,200,282160Z,282160Z:US,SterlingGroupLP/The,,Financials,AssetManagement,'PrivateEquity,null
0
200,EORR,EORR:US,Empire-OrrInc,,ConsumerDiscretionary,Retail-Discretionary,'OtherSpecRetail-Discr,null
200,MTWOY, MTWOY:US , M 2003 PLC ,  , Technology , Hardware ,' Communications Equipment ,null
0
404,AKO,null,null,null,null,null,'null,null
200,CDTS,CDTS:US,ConductusInc,,Industrials,ElectricalEquipment,'ElectricalComponents,200,SCON,SCON:US,SuperconductorTechnologiesInc,NASDAQCM,Technology,Hardware,'CommunicationsEquipment,null
200,GCREF,GCREF:US,GCRHoldingsLtd,,Financials,Insurance,'P&CInsurance,200,DPW,DPW:GR,DeutschePostAG,Xetra,Industrials,Transportation&Logistics,'LogisticsServices,null
200,ACSI,ACSI:US,ACDSystemsInternationalInc,,Technology,Software,'ApplicationSoftware,null
200,DOCD,DOCD:US,DOCdataNV,,Technology,TechnologyServices,'ITServices,null
200,EQK,EQK:US,EquimarkCorp,,Financials,Banking,'Banks,null
200,EDFY,EDFY:US,EdentifyInc,,Technology,Hardware,'OtherHardware,null
