UO4P.HM	HAM
FAI-A.TO	TOR
PFH.TO	TOR
ZID.TO	TOR
NK4L.SG	STU
SUSC.L	ISE
LYMTF.SW	EBS
EAPS	PCX
JBPLUX.SW	EBS
VWOB.MX	MEX
14174872.DU	DUS
93WY.L	LSE
YOZF.AX	ASX
82194.L	LSE
JPXC.SW	EBS
18M4.DE	GER
XITA.MI	MIL
ITL2.MI	MIL
SPAP.L	LSE
ARKK	PCX
DGRW	NGM
18MJ.F	FRA
CEMZ.BE	BER
SPHQ	PCX
SMSWLD.MI	MIL
LYCSH.SW	EBS
25495126.IR	ISE
18MF.DU	DUS
HRDAX-28.TA	TLV
10ZA.L	LSE
DXJF.MI	ISE
3781933.SG	STU
UCO	PCX
ZPRA.SG	STU
13910159.SW	EBS
24501376.IR	ISE
SPYS.DE	ISE
IBCM.HM	HAM
AA13.PA	PAR
X013.F	FRA
SXR7.DE	GER
IQQT.HM	HAM
EWSS	PCX
TOTS	PCX
HEJ-A.TO	TOR
JPUS	PCX
OIL.MC	MCE
125723.L	LSE
122254.L	LSE
ISF.L	LSE
^TDIV	NIM
MSAAB.AS	AMS
122286.L	LSE
IUSF.BE	BER
X022.DE	GER
ZSML	PCX
SPMV.MI	MIL
SYBJ.F	FRA
MDYV.A	ASE
XCHC.BE	BER
AC5SDUM6FSGI.ST	STO
BIS	NGM
CSZA.L	LSE
^VUSD	NIM
SYB3.DE	ISE
SUKC.L	LSE
61JJ.L	LSE
XCS3.F	FRA
MA57.PA	PAR
VEF5.BE	BER
ILCTRACISHRS.MX	MEX
JPMV.A	ASE
RELDIVOPP.NS	NSI
SXR1.DE	GER
LYM4.DE	GER
HAZ-A.TO	TOR
SEB_1308K.ST	STO
XLFS	PCX
IND75-15.TA	TLV
18MG.DU	DUS
G3ZDM7.TI	TLO
4621509.DU	DUS
GLDU.PA	PAR
XB4A.F	FRA
DX2K.DE	GER
KSM-110D.TA	TLV
533230.BO	BSE
IUSF.DU	DUS
IUS8.DU	DUS
IUSD.HM	HAM
SJNK.L	ISE
SPYB	PCX
UBUS.SG	STU
NBF_33AEH_A946.ST	STO
10290863.BE	BER
MZZ	PCX
LYXL.F	FRA
NBF_UC63_A097B.ST	STO
HYMB	PCX
6PSB.MU	MUN
EMDG	PCX
EXS3.HM	HAM
EL4P.HM	HAM
1680049.BE	BER
GLCB	NIM
CSPXJ.MI	MIL
IUSK.HM	HAM
MGT.MI	MIL
VOT.MX	MEX
SMMU	PCX
IBTS.L	LSE
IM2R.SG	STU
53CX.L	LSE
TNOW.L	LSE
HMAD.L	ISE
GBS.MI	MIL
MES.MX	MEX
IUSD.MU	MUN
BULL-TEL-DNM.OL	OSL
^ZPDH	NIM
MIDU	PCX
PNTR-276.TA	TLV
EGB5.MI	MIL
104847.L	LSE
XGIG.L	LSE
EIMI.L	LSE
AEJL.L	LSE
SPY1.DE	GER
129883.L	LSE
HRSMC-95.TA	TLV
CBO.TO	TOR
123524.L	LSE
3291273.SW	EBS
LYPI.DE	GER
GMF.MX	MEX
27869089.IR	ISE
XRUD.L	LSE
VGT.MX	MEX
25874916.IR	ISE
SXR4.DE	GER
PSG50-20.TA	TLV
I6HB.BE	BER
XMJG.L	LSE
26101658.MA	MAD
1DIV.BK	SET
TTFS	PCX
DXS2.SG	STU
ZEB.TO	TOR
DXSH.F	FRA
YAO	PCX
192090.KS	KSC
R2US.MI	MIL
IMXTRACISHRS.MX	MEX
XFFE.MI	MIL
SHRT-BASMET-H.ST	STO
LYM6.MU	MUN
ERND.AS	AMS
XCDL.MI	MIL
UEFD.SG	STU
H411.DE	GER
XPQP.DE	GER
LYY3.HM	HAM
LCNY.L	LSE
SCHP	PCX
NGASP.PA	PAR
38TB.L	LSE
XSBT.DE	ISE
DXS9.F	FRA
HTR.PA	PAR
DXET.HM	HAM
XSDS.MI	MIL
2803943.IR	ISE
SXR2.DE	GER
IDXJ	PCX
SPYD.F	FRA
GTIP	PCX
102641.L	LSE
PST75-17.TA	TLV
CNAA.L	PSX
PEK	PCX
50QB.L	LSE
RHS.TO	TOR
USB-U.TO	TOR
IBCG.DE	GER
CAUSBH.SW	EBS
SXRZ.F	FRA
ISXF.L	LSE
79YB.L	LSE
PICK	PCX
RZV.A	ASE
WYDE.A	ASE
SPY.MX	MEX
X023.HM	HAM
BULL-REC-DNM.OL	OSL
RDVY	NGM
ETLZ.F	FRA
SBIO	PCX
IS0P.F	FRA
ETLP.MU	MUN
PBP	PCX
93XB.L	LSE
M10TRACISHRS.MX	MEX
HTB40-38.TA	TLV
HGY-A.TO	TOR
TURSP.IS	IST
HMF.TO	TOR
75SV.L	LSE
PSSP.L	LSE
M9SB.MU	MUN
REQR.F	FRA
VA.TO	TOR
BULL-BRNT-X3-DNM.OL	OSL
DLS.MX	MEX
SXRI.F	FRA
NXF-A.TO	TOR
IUS8.HM	HAM
A0M03V.MU	MUN
PGF	PCX
4482173.SW	EBS
540P.DE	GER
QUID.L	LSE
SIJ.MX	MEX
S7XP.L	LSE
IEMA.AS	AMS
HLTU.MI	MIL
IBEXI.MC	MCE
XHB	PCX
IJPH.L	LSE
60CN.L	LSE
XY1D.F	FRA
E-D.TO	TOR
ZGLDHC.SW	EBS
WREI	PCX
VMID.L	LSE
47DE.L	LSE
PGX.MX	MEX
220130.KS	KSC
DBX0.SG	STU
10804643.DU	DUS
^INSTHYE	NIM
C063.DU	DUS
LUMV.L	LSE
IXJ.A	ASE
IQQU.HM	HAM
DES	PCX
DBPG.SG	STU
11993116.SW	EBS
KSIB-48.TA	TLV
IS3S.SG	STU
CAPE.MI	MIL
3331944.DU	DUS
EMBE.MI	MIL
TZV	PCX
NKY.A	ASE
IS3Q.F	FRA
EL44.F	FRA
RTR.A	ASE
6PSD.F	FRA
M9SK.DU	DUS
CONSUMO10.MX	MEX
CD8.PA	PAR
IEBQ70R69.MU	MUN
BEAR-SOCKER-X2-H.ST	STO
QLTB.A	ASE
SPYZ.F	FRA
18MX.F	FRA
LYQ2.F	FRA
XMK8.SG	STU
GSAU.L	LSE
LUSC.L	LSE
AIGX.MI	MIL
STXX	PCX
SPYV	PCX
RWO.A	ASE
41TC.L	LSE
0I88.MU	MUN
26625108.SW	EBS
HSD.TO	TOR
CWFUSD.SW	PSX
XBAG.SW	EBS
CSCL.L	LSE
M9SF.BE	BER
130730.KS	KSC
127107.L	LSE
SSGL.HM	HAM
TDEX.BK	SET
TCMKD-86.TA	TLV
VIS.MX	MEX
UB66.L	LSE
AFK.A	ASE
IDFE.L	ISE
DX2Y.DU	DUS
FAD	PCX
MA08.VI	VIE
102541.L	LSE
LONG-EUR-F-S.ST	STO
IYT.MX	MEX
S2GBBH.SW	EBS
IBC7.HM	HAM
152100.KS	KSC
139220.KS	KSC
36BZ.F	FRA
J10E.BE	BER
MSBV_SA1L.ST	STO
O034.L	LSE
XWSM.L	LSE
ARGT_GTM_2219.ST	STO
JPEH.L	LSE
BEAR-EURSEK-X3-H.ST	STO
XIMT.L	LSE
VNRT.SW	EBS
PRB	PCX
127138.L	LSE
KEMP.A	ASE
XGLF.DE	GER
^VGSH	NIM
VG7D.MU	MUN
^JGBB	NIM
LYMB.DU	DUS
LYS6.DE	GER
ARKQ	PCX
LYS3.DU	DUS
IUFS.L	LSE
DAXEX.SW	EBS
XAXJ.ST	STO
C53.PA	PAR
EXHJ.HM	HAM
LYYT.SG	STU
LYYK.SG	STU
CNXT	PCX
3782643.SG	STU
PST-N15.TA	TLV
TLT.MX	MEX
EUNX.DE	GER
LYMC.SG	STU
H4ZS.SG	STU
IUSM.SG	STU
KBWD	PCX
2B7G.MU	MUN
DXS2.HM	HAM
RID.TO	TOR
OXJR.AX	ASX
IQQ9.BE	BER
EMSC.SW	EBS
TMDCP-87.TA	TLV
ARGT_GTM_2097.ST	STO
ISFE.SW	EBS
BEAR-VENAJA-NF.HE	HEL
QXM.TO	TOR
IWDAN.MX	MEX
HRBND-56.TA	TLV
PSCH	NGM
C075.SW	EBS
^VMID	NIM
IXJ	PCX
BEAR-YAR-DNM.OL	OSL
X08259.TI	TLO
DBX8.DE	GER
XDGM.DE	ISE
83127.HK	HKG
SWER-OMXS30.ST	STO
4914635.DU	DUS
ASRUSA.SW	EBS
DXJP.L	ISE
JKE	PCX
PSL	PCX
XDEB.F	FRA
211560.KS	KSC
IXUS	PCX
LYMC.BE	BER
VEFV.BE	BER
O109.L	LSE
HRBR-92.TA	TLV
DE5A.DE	GER
DBXG.HM	HAM
XGII.F	FRA
EWV	PCX
DRV	PCX
25383925.SW	EBS
3567338.IR	ISE
YGEA.AX	ASX
DBX5.SG	STU
SEUP.L	LSE
5X60.SG	STU
PME50-49.TA	TLV
HRSRT-40.TA	TLV
NBF_ET79_A747A.ST	STO
IS0D.SG	STU
EXHG.MU	MUN
SYBF.DE	GER
ZXM-D.TO	TOR
XLKS.MI	MIL
CSAU.SW	EBS
^INSYB4C	NIM
UEFI.DU	DUS
CWFG.L	LSE
QCB.AX	ASX
WOOD.MI	MIL
BBVADSMN.MX	MEX
ARMA-97.TA	TLV
EXSD.HM	HAM
H4ZF.HM	HAM
LYPI.SG	STU
GERJ.A	ASE
UIM6.DE	GER
SYB5.SG	STU
VISO_GTM_1426.ST	STO
117740.KS	KSC
ICOL	PCX
10XJ.L	LSE
MNT.TO	TOR
PSASTR-8.TA	TLV
LY10.VI	VIE
HMUS.L	LSE
X508.DU	DUS
XHYP.MI	MIL
JPSR.L	LSE
HMEU.L	LSE
SSIL.MI	MIL
18MP.MU	MUN
LYYA.DE	GER
C063.F	FRA
DBX0.F	FRA
HYXU	BTS
XDEV.DE	GER
UIQC.F	FRA
XDNE.F	FRA
1556813.DU	DUS
LU45929116.HM	HAM
CJSU.L	LSE
EQL	PCX
CEM1.DE	GER
^VNRT	NIM
DJMC.L	LSE
TELW.BR	BRU
DBPY.F	FRA
VISO_GTM_1689.ST	STO
AIGP.MI	MIL
MATW.BR	BRU
PHSP.L	LSE
FTB.TO	TOR
TLTD	PCX
LYMS.MU	MUN
JPNH	PCX
SIWB.HM	HAM
DXGY.MI	ISE
EXS1.DU	DUS
LYPVX.SW	EBS
PDJI.LS	LIS
KSMC-123.TA	TLV
FUD-A.TO	TOR
51LX.L	LSE
TCBI-105.TA	TLV
ERND.L	ISE
TNOU.PA	PAR
HDGE.A	ASE
FJP.MX	MEX
126203.L	LSE
SEMB.L	LSE
IWVL.L	ISE
28101727.IR	ISE
MHDX.L	LSE
DDBO_509A.ST	STO
ATRF.L	LSE
XHCN.F	FRA
IQDF	PCX
OSB3.L	LSE
EXS2.SG	STU
BKF.MX	MEX
SJPY.L	LSE
VXM-B.TO	TOR
LYHSI.SW	EBS
XEB.TO	TOR
ZPDF.DE	GER
USD.AX	ASX
XS7.PA	PAR
SPYG.A	ASE
DXS0.MU	MUN
A0LGQF.MU	MUN
117107.L	LSE
GWT.SW	EBS
EUM	PCX
EL4J.DU	DUS
VISO_GTM_1643.ST	STO
OILBP.PA	PAR
96AN.L	LSE
JBGOEA.SW	EBS
HES.TO	TOR
CASH.SG	STU
XDNS.L	LSE
ZPR.TO	TOR
VPU.A	ASE
10846378.DU	DUS
SEUE.L	LSE
SCHB	PCX
C074.DU	DUS
JBSICX.SW	EBS
LYYQ.BE	BER
92JH.L	LSE
11892391.SW	EBS
3782235.SG	STU
HLT.MC	MCE
C073.DU	DUS
IQQD.DU	DUS
^INSYBSD	NIM
SEB_K255.ST	STO
ZINC.MI	MIL
CJP-A.TO	TOR
XACT-BANK.ST	STO
ETLW.BE	BER
39BC.L	LSE
16HB.L	LSE
SMLV	PCX
O022.L	LSE
SJPP.L	LSE
OSX9.SG	STU
UBUR.DE	GER
UYG.MX	MEX
87XI.L	LSE
XMBR.ST	STO
SXEPEX.SW	BER
MEUD.L	LSE
135864.L	LSE
11620753.DU	DUS
DPST	PCX
2864220.SW	EBS
MMTM	PCX
CSSL_SIF_OMX29.ST	STO
IQQ7.DE	GER
77TZ.L	LSE
NDQ.AX	ASX
SPXU	PCX
CRPH.L	LSE
CES.TO	TOR
IBCL.HM	HAM
DXM.TO	TOR
16KS.L	LSE
MHUU.SW	EBS
DBX8.BE	BER
UPRO.A	ASE
AUGB.L	LSE
VAW.A	ASE
EXX4.MU	MUN
8530.F	FRA
ISQ0.BE	BER
CNDA	PCX
SLYG.A	ASE
LD	PCX
WBIB.A	ASE
SGOL	PCX
NLR.A	ASE
SUSC.SW	EBS
SC0V.F	FRA
BUYB.L	ISE
SD7X.HM	HAM
^INSYBDD	NIM
DXSH.BE	BER
DGSE.MI	MIL
3262851.F	FRA
^INZPRWG	NIM
26305580.IR	ISE
COMT	NGM
DEFL	PCX
DBXV.SG	STU
SC08.MU	MUN
FHM.TO	TOR
PSRA.L	LSE
DXSL.F	FRA
BSCF	PCX
NNNN-TEST.A	ASE
IOO.MX	MEX
LCPE.L	LSE
533888.BO	BSE
JJP	PCX
X90085.TI	TLO
DX2K.DU	DUS
EIS	PCX
VUSA.PA	PAR
IVV	PCX
SPLX	PCX
CES-V.TO	TOR
^PSAU	NIM
BOM	PCX
LQD	PCX
IBMF	PCX
QMIX.AX	ASX
UBUT.SG	STU
X021.DU	DUS
E2JA.SG	STU
NDXH.MI	PSX
HBRL.SW	EBS
XCHC.DE	GER
LYOIL.SW	EBS
ZUB.TO	TOR
TRVL.MI	MIL
D5BE.MU	MUN
FTEC	PCX
CU1.MI	PSX
IUS7.F	FRA
O018.L	LSE
SYBW.SG	STU
61DO.L	LSE
IJJ	PCX
^INSYBYP	NIM
IYH.MX	MEX
3900039.DU	DUS
IAI.A	ASE
ZLB.TO	TOR
22270637.SG	STU
XS8R.MI	MIL
VISO_GTM_1425.ST	STO
EXS2.DU	DUS
GRID	NGM
2B7Z.MU	MUN
RTH.A	ASE
124862.L	LSE
CEU.L	LSE
ZPRR.F	FRA
BSCG	PCX
SHRT-BASMET-S-H.ST	STO
LZIC.L	LSE
XLKQ.L	LSE
SC0C.F	FRA
KSMCM-31.TA	TLV
TCBYO-88.TA	TLV
122052.L	LSE
M9SA.DE	GER
UBU7.DE	GER
IFSW.SW	ISE
XBRI.L	LSE
SC06.DE	GER
^IFV	NIM
EFIW.MI	MIL
ARGT_GTM_1930.ST	STO
UTSYD.MI	MIL
IS0M.DE	GER
44CQ.L	LSE
SEB_K253.ST	STO
O090.L	LSE
MRAI.AS	AMS
ACIM.SW	EBS
PSGT-256.TA	TLV
67OI.L	LSE
AXDI	PCX
11421680.DU	DUS
HRSTE-77.TA	TLV
STKX.MI	ISE
DX2P.SG	STU
VXM-A.TO	TOR
DBPV.F	FRA
540L.MU	MUN
12632809.SW	EBS
C007.SG	STU
HQD.TO	TOR
77DM.L	LSE
C030.BE	BER
UBUD.F	FRA
IS3R.F	FRA
73CA.L	LSE
PNASD-62.TA	TLV
VOO.A	ASE
OEF	PCX
SC0W.HM	HAM
WXM.TO	TOR
XCS6.SG	STU
DX2K.SG	STU
H4ZN.MU	MUN
0BYQ.MU	MUN
XDS.PA	PAR
C023.DE	GER
GBRE.SW	EBS
DGZ	PCX
IPOS	PCX
^SGGG	NIM
UC82.L	LSE
VERX.L	LSE
IEGL.L	LSE
INBNK-45.TA	TLV
DJD	PCX
ZPRR.DE	GER
LYM5.F	FRA
DBPU.DE	GER
MLPQ.L	LSE
LRX1.SG	STU
NBF_TM_3376.ST	STO
XDNU.L	ISE
CD5.PA	PAR
PWC	PCX
ISEM.L	LSE
LYYK.DE	PSX
XMTW.L	LSE
TELE.MI	MIL
SPYR.MU	MUN
BEAR-DNBNORHA.OL	OSL
^VONE	NIM
VBK.A	ASE
IFSU.L	LSE
KX1G.SG	STU
LSUG.L	LSE
PERI.L	ISE
LYQI.DE	GER
JBPACX.SW	EBS
X019.DE	GER
X012.DU	DUS
X87104.TI	TLO
DXJ.MX	MEX
STN	NYQ
EZEX.SG	STU
EEH	PCX
CEMQ.MU	MUN
OSMS.A	ASE
IS06.F	FRA
22374934.SW	EBS
KX1G.DE	GER
NS4E.F	FRA
NGCFICK15.MX	MEX
BUND	PCX
HSI.PA	PAR
PMXWD-72.TA	TLV
IEAG.MI	MIL
DBIF	PCX
190150.KS	KSC
CMD	PCX
03OK.BE	BER
FLN.A	ASE
NAGS.A	ASE
SGIL.L	LSE
DXSJ.F	FRA
SC06.F	FRA
EMAE.MI	MIL
VXF.A	ASE
USEUWH.SW	EBS
UGAZ	PCX
SXRV.BE	BER
IESP.SW	EBS
US57.L	PSX
ETLV.F	FRA
RJN	PCX
KSTP-183.TA	TLV
PIQ	PCX
IS0G.MU	MUN
14338732.SW	EBS
LYTELW.SW	EBS
XXSC.ST	STO
LONG-VETE-H.ST	STO
I6HB.DU	DUS
XB4F.MU	MUN
DBX0.DU	DUS
TNOW.MI	MIL
HYHG	BTS
C077.DE	GER
JP1506.MI	MIL
IS0S.SG	STU
ITEQ	NGM
KSMJM-D2.TA	TLV
1430078.BE	BER
108201.L	LSE
NBF_33AGK_A947.ST	STO
INDX-68.TA	TLV
LYX5.SG	STU
XWTD.MI	MIL
227930.KS	KSC
LYQJ.DU	DUS
IEGA.AS	AMS
JP1303.MI	MIL
CLF.TO	TOR
VE43.MU	MUN
IGSG.L	LSE
CEBG.MU	MUN
P28119.MI	MIL
DXLPE.MC	MCE
SZK	PCX
PSSQR-D1.TA	TLV
PRUS.PA	PSX
WBIE	PCX
DBXM.BE	BER
SRFCHI.SW	EBS
ENY	PCX
20908942.DU	DUS
VHTX.F	FRA
^INSYBSC	NIM
DBXW.BE	BER
22556952.IR	ISE
74416.L	LSE
HRHSN-29.TA	TLV
LYMU.SG	STU
540I.SG	STU
PSSP-211.TA	TLV
XMAW.SG	STU
PP2.LS	LIS
DWAQ.A	ASE
MPFE.SW	ISE
UCD	PCX
67LV.L	LSE
MIVO.PA	PSX
X00106.TI	TLO
CLFMF.PK	PNK
TCLGL-32.TA	TLV
20974096.IR	ISE
PSSP-183.TA	TLV
XMBR.SW	EBS
IBCA.DU	DUS
38JV.L	LSE
X024.SW	EBS
O102.L	LSE
X28327.TI	TLO
78EJ.L	LSE
93XA.L	LSE
PCSVE5ASHB.ST	STO
XUS.NX	ENX
X022.SW	EBS
X015.F	FRA
CQQQ	PCX
LYXL.L	LSE
HTB-U.TO	TOR
MPFC.F	FRA
10228160.DU	DUS
H41D.MU	MUN
10461044.DU	DUS
IQLT	PCX
DBE.MX	MEX
SRET	NGM
CADP.L	LSE
JJJJ-TEST	ASE
IQQQ.HM	HAM
42ZC.L	LSE
YAO.A	ASE
QQQ	NGM
XLI.A	ASE
XCS6.DE	GER
EXH1.DE	GER
UC33.L	LSE
BULL-GULD-X2-S.ST	STO
VIOO.A	ASE
DOO.MX	MEX
HVPW.A	ASE
FGBL.L	LSE
WTEA.DE	GER
ETL1.BE	BER
FDTS	NGM
SPYC.BE	BER
H4ZD.HM	HAM
63XX.L	LSE
^PRFZ	NIM
IEMG	PCX
BSJK	PCX
DBEF	PCX
FXB.MX	MEX
GAA	PCX
TBZ.A	ASE
KCRAV4DSHB.ST	STO
M9SB.BE	BER
X501.SW	EBS
XLVP.L	LSE
WTID.MI	MIL
CP9U.PA	PSX
SNLN	PCX
UXM-D.TO	TOR
TZD	PCX
CBU7.L	LSE
QQEW	NGM
DWM	PCX
ASHR.MX	MEX
